id	date	URI	label
1	20111013000640	http://archiveit.prod.odu.edu:8080/1068/20111013000640/http://acda.co/	1
1	20111202210619	http://archiveit.prod.odu.edu:8080/1068/20111202210619/http://acda.co/	1
1	20120302210435	http://archiveit.prod.odu.edu:8080/1068/20120302210435/http://acda.co/	1
1	20120602210549	http://archiveit.prod.odu.edu:8080/1068/20120602210549/http://acda.co/	1
1	20120902035158	http://archiveit.prod.odu.edu:8080/1068/20120902035158/http://acda.co/	1
1	20121202092828	http://archiveit.prod.odu.edu:8080/1068/20121202092828/http://acda.co/	1
1	20130307002013	http://archiveit.prod.odu.edu:8080/1068/20130307002013/http://acda.co/	1
3	20100903012627	http://archiveit.prod.odu.edu:8080/1068/20100903012627/http://www.advocacyforum.org/	1
3	20101202231130	http://archiveit.prod.odu.edu:8080/1068/20101202231130/http://www.advocacyforum.org/	1
3	20110302235555	http://archiveit.prod.odu.edu:8080/1068/20110302235555/http://www.advocacyforum.org/	1
3	20110317183254	http://archiveit.prod.odu.edu:8080/1068/20110317183254/http://advocacyforum.org/	1
3	20110602192847	http://archiveit.prod.odu.edu:8080/1068/20110602192847/http://advocacyforum.org/	1
3	20110603041931	http://archiveit.prod.odu.edu:8080/1068/20110603041931/http://www.advocacyforum.org/	1
3	20110902215730	http://archiveit.prod.odu.edu:8080/1068/20110902215730/http://advocacyforum.org/	1
3	20110903105647	http://archiveit.prod.odu.edu:8080/1068/20110903105647/http://www.advocacyforum.org/	1
3	20111202210621	http://archiveit.prod.odu.edu:8080/1068/20111202210621/http://advocacyforum.org/	1
3	20111203182253	http://archiveit.prod.odu.edu:8080/1068/20111203182253/http://www.advocacyforum.org/	1
3	20120302210436	http://archiveit.prod.odu.edu:8080/1068/20120302210436/http://advocacyforum.org/	1
3	20120303165306	http://archiveit.prod.odu.edu:8080/1068/20120303165306/http://www.advocacyforum.org/	1
3	20120602210545	http://archiveit.prod.odu.edu:8080/1068/20120602210545/http://advocacyforum.org/	1
3	20120603102548	http://archiveit.prod.odu.edu:8080/1068/20120603102548/http://www.advocacyforum.org/	1
3	20120902044236	http://archiveit.prod.odu.edu:8080/1068/20120902044236/http://advocacyforum.org/	1
3	20120902114020	http://archiveit.prod.odu.edu:8080/1068/20120902114020/http://www.advocacyforum.org/	1
3	20121202092811	http://archiveit.prod.odu.edu:8080/1068/20121202092811/http://advocacyforum.org/	1
3	20130306212207	http://archiveit.prod.odu.edu:8080/1068/20130306212207/http://advocacyforum.org/	1
5	20121018173027	http://archiveit.prod.odu.edu:8080/1068/20121018173027/http://afapredesa-arabe.blogspot.com/	1
5	20121018173240	http://archiveit.prod.odu.edu:8080/1068/20121018173240/http://afapredesa-arabe.blogspot.com/	1
5	20121202092811	http://archiveit.prod.odu.edu:8080/1068/20121202092811/http://afapredesa-arabe.blogspot.com/	1
5	20121202195556	http://archiveit.prod.odu.edu:8080/1068/20121202195556/http://afapredesa-arabe.blogspot.com/	1
5	20130306212204	http://archiveit.prod.odu.edu:8080/1068/20130306212204/http://afapredesa-arabe.blogspot.com/	1
11	20110317183255	http://archiveit.prod.odu.edu:8080/1068/20110317183255/http://amnesty.hu/	1
11	20110405170927	http://archiveit.prod.odu.edu:8080/1068/20110405170927/http://amnesty.hu/	1
11	20110602192907	http://archiveit.prod.odu.edu:8080/1068/20110602192907/http://amnesty.hu/	1
11	20110602235259	http://archiveit.prod.odu.edu:8080/1068/20110602235259/http://www.amnesty.hu/	1
11	20110602235301	http://archiveit.prod.odu.edu:8080/1068/20110602235301/http://amnesty.hu/	1
11	20110902210803	http://archiveit.prod.odu.edu:8080/1068/20110902210803/http://amnesty.hu/	1
11	20110903010306	http://archiveit.prod.odu.edu:8080/1068/20110903010306/https://www.amnesty.hu/	1
11	20110903015213	http://archiveit.prod.odu.edu:8080/1068/20110903015213/http://www.amnesty.hu/	1
11	20111202210624	http://archiveit.prod.odu.edu:8080/1068/20111202210624/http://amnesty.hu/	1
11	20111203014424	http://archiveit.prod.odu.edu:8080/1068/20111203014424/http://www.amnesty.hu/	1
11	20120302233153	http://archiveit.prod.odu.edu:8080/1068/20120302233153/http://amnesty.hu/	1
11	20120303031354	http://archiveit.prod.odu.edu:8080/1068/20120303031354/http://www.amnesty.hu/	1
11	20120603001240	http://archiveit.prod.odu.edu:8080/1068/20120603001240/http://amnesty.hu/	1
11	20120603045220	http://archiveit.prod.odu.edu:8080/1068/20120603045220/http://www.amnesty.hu/	1
11	20120902035247	http://archiveit.prod.odu.edu:8080/1068/20120902035247/http://amnesty.hu/	1
11	20120902093602	http://archiveit.prod.odu.edu:8080/1068/20120902093602/http://www.amnesty.hu/	1
11	20121202153756	http://archiveit.prod.odu.edu:8080/1068/20121202153756/http://www.amnesty.hu/	1
11	20130306212428	http://archiveit.prod.odu.edu:8080/1068/20130306212428/http://amnesty.hu/	1
11	20130307023428	http://archiveit.prod.odu.edu:8080/1068/20130307023428/http://www.amnesty.hu/	1
12	20100602202513	http://archiveit.prod.odu.edu:8080/1068/20100602202513/http://www.amnesty.ie/	1
12	20100902220135	http://archiveit.prod.odu.edu:8080/1068/20100902220135/http://www.amnesty.ie/	1
12	20101202215451	http://archiveit.prod.odu.edu:8080/1068/20101202215451/http://www.amnesty.ie/	1
12	20110302223233	http://archiveit.prod.odu.edu:8080/1068/20110302223233/http://www.amnesty.ie/	1
12	20110311212740	http://archiveit.prod.odu.edu:8080/1068/20110311212740/http://amnesty.ie/	1
12	20110312005019	http://archiveit.prod.odu.edu:8080/1068/20110312005019/https://amnesty.ie/	1
12	20110312005020	http://archiveit.prod.odu.edu:8080/1068/20110312005020/http://www.amnesty.ie/	1
12	20110602192910	http://archiveit.prod.odu.edu:8080/1068/20110602192910/http://amnesty.ie/	1
12	20110602220444	http://archiveit.prod.odu.edu:8080/1068/20110602220444/http://www.amnesty.ie/	1
12	20110602235303	http://archiveit.prod.odu.edu:8080/1068/20110602235303/http://www.amnesty.ie/	1
12	20110603020814	http://archiveit.prod.odu.edu:8080/1068/20110603020814/https://amnesty.ie/	1
12	20110902210644	http://archiveit.prod.odu.edu:8080/1068/20110902210644/http://amnesty.ie/	1
12	20110903052549	http://archiveit.prod.odu.edu:8080/1068/20110903052549/http://www.amnesty.ie/	1
12	20110903112908	http://archiveit.prod.odu.edu:8080/1068/20110903112908/https://amnesty.ie/	1
12	20110915071936	http://archiveit.prod.odu.edu:8080/1068/20110915071936/http://www.amnesty.ie/	1
12	20111202230153	http://archiveit.prod.odu.edu:8080/1068/20111202230153/http://amnesty.ie/	1
12	20111203024532	http://archiveit.prod.odu.edu:8080/1068/20111203024532/http://www.amnesty.ie/	1
12	20111203055107	http://archiveit.prod.odu.edu:8080/1068/20111203055107/https://www.amnesty.ie/	1
